Classification,Food Name,Moisture (water) (mg),Protein (mg),"Fat, total (mg)",Ash (mg),Total dietary fibre (mg),"Available carbohydrate, without sugar alcohols (mg)",Total sugars (mg),Starch (mg),Sodium (Na) (mg),Potassium (K) (mg),Calcium (Ca) (mg),Phosphorus (P) (mg),Magnesium (Mg) (mg),Iron (Fe) (mg),Zinc (Zn) (mg),Cholesterol (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin C (mg)
18302,"Turkey, breast, lean flesh, raw",73000.0,21600.0,3300.0,1500.0,0.0,0.0,0.0,0.0,240,370,7,220,25,0.4,1.3,45,0.07,0.05,7.9,0
18302,"Turkey, breast, lean flesh, baked, no added fat",64599.99999999999,29400.0,4000.0,1500.0,0.0,0.0,0.0,0.0,210,330,8,240,26,0.6,1.9,65,0.05,0.09,6.2,0
18302,"Turkey, breast, lean flesh, skin & fat, raw",69200.0,20400.0,8500.0,1400.0,0.0,0.0,0.0,0.0,217,336,7,202,23,0.56,1.3,50,0.059,0.052,7.39,0
18302,"Turkey, breast, lean flesh, skin & fat, baked, no added fat",60900.0,27700.0,9200.0,1400.0,0.0,0.0,0.0,0.0,199,317,8,227,24,0.71,1.84,72,0.05,0.09,6.2,0
18302,"Turkey, hindquarter, lean flesh, raw",74100.0,18400.0,5300.0,1400.0,0.0,0.0,0.0,0.0,260,310,7,190,20,1.2,3.6,58,0.1,0.13,4.0,2
18302,"Turkey, hindquarter, lean flesh, baked, no added fat",63300.0,26800.0,7000.0,1400.0,0.0,0.0,0.0,0.0,170,320,9,210,21,2.1,4.5,88,0.1,0.28,4.3,2
18302,"Turkey, hindquarter, lean flesh, skin & fat, raw",66400.0,18600.0,12600.0,1300.0,0.0,0.0,0.0,0.0,237,293,10,184,19,1.3,3.14,66,0.092,0.143,4.08,2
18302,"Turkey, hindquarter, lean flesh, skin & fat, baked, no added fat",58500.0,25600.0,12900.0,1400.0,0.0,0.0,0.0,0.0,165,304,10,202,20,2.04,3.97,90,0.094,0.267,4.32,2
18302,"Duck, skin & fat, raw",28500.0,9500.0,59200.0,300.0,0.0,0.0,0.0,0.0,34,70,3,41,4,0.45,0.45,73,0.04,0.05,1.1,0
18302,"Duck, skin & fat, baked, no added fat",35900.0,13400.0,48300.0,500.0,0.0,0.0,0.0,0.0,60,130,3,220,15,1.3,1.3,100,0.08,0.13,2.7,0
18302,"Duck, breast, lean flesh, raw",77500.0,21200.0,600.0,1300.0,0.0,0.0,0.0,0.0,60,380,4,230,26,3.2,1.1,130,0.37,0.28,6.8,0
18302,"Duck, breast, lean, fried, no added fat",70400.0,28000.0,800.0,1700.0,0.0,0.0,0.0,0.0,63,400,5,242,26,3.79,1.45,171,0.341,0.332,7.16,0
18302,"Duck, lean flesh, raw",75100.0,17800.0,5500.0,900.0,0.0,0.0,0.0,0.0,91,270,7,170,19,1.8,2.0,110,0.32,0.2,4.5,0
18302,"Duck, lean flesh, baked, no added fat",70000.0,28300.0,800.0,1700.0,0.0,0.0,0.0,0.0,64,405,5,245,26,3.84,1.47,173,0.345,0.336,7.25,0
18302,"Duck, lean flesh, skin & fat, raw",47800.0,13000.0,36900.0,500.0,0.0,0.0,0.0,0.0,58,153,5,94,10,1.01,1.09,88,0.156,0.112,2.51,0
18302,"Duck, lean flesh, skin & fat, baked, no added fat",40300.0,17300.0,39400.0,700.0,0.0,0.0,0.0,0.0,62,163,6,101,10,1.21,1.46,94,0.146,0.135,2.68,0
18303,"Quail, lean flesh & skin, raw",69800.0,18500.0,11000.0,1000.0,0.0,0.0,0.0,0.0,45,500,6,210,24,1.3,0.74,99,0.1,0.51,6.6,0
18303,"Quail, lean flesh & skin, baked, no added fat",61400.0,27700.0,9600.0,1300.0,0.0,0.0,0.0,0.0,58,370,16,280,31,1.8,1.3,130,0.09,0.62,7.4,0
18303,"Emu, fan fillet, raw",74300.0,24700.0,1800.0,1200.0,0.0,0.0,0.0,0.0,43,347,4,236,27,3.6,0.3,50,0.12,0.01,7.4,0
18303,"Emu, steak, as purchased, raw",74200.0,23400.0,2500.0,1200.0,0.0,0.0,0.0,0.0,50,350,4,228,26,3.85,2.3,61,0.15,0.28,5.4,0
18303,"Emu, steak, as purchased, fried, no added fat",66100.0,30800.0,3300.0,1500.0,0.0,0.0,0.0,0.0,53,368,5,240,26,4.56,3.03,80,0.138,0.332,5.68,0
18201,"Kangaroo, loin fillet, raw",75400.0,21400.0,900.0,1100.0,0.0,0.0,0.0,0.0,40,350,3,220,26,3.4,2.3,65,0.22,0.41,4.2,0
18201,"Kangaroo, loin fillet, grilled, no added fat",66800.0,30100.0,1200.0,1300.0,0.0,0.0,0.0,0.0,44,390,4,280,30,4.1,3.05,71,0.23,0.66,4.8,0
18201,"Kangaroo, rump, raw",75500.0,20300.0,800.0,1200.0,0.0,0.0,0.0,0.0,47,320,3,220,24,2.3,2.3,57,0.18,0.44,3.5,0
18201,"Kangaroo, rump, baked, no added fat",60800.0,33900.0,2500.0,1300.0,0.0,0.0,0.0,0.0,51,370,4,270,29,4.2,4.0,75,0.15,0.69,4.4,0
18201,"Kangaroo, steak, as purchased, raw",75800.0,22500.0,1000.0,1100.0,0.0,400.0,400.0,0.0,40,350,4,190,23,3.1,2.6,73,0.13,0.23,4.0,0
18201,"Kangaroo, steak, as purchased, fried, no added fat",62700.0,34600.0,1500.0,1700.0,0.0,600.0,600.0,0.0,52,458,6,263,30,4.53,4.0,112,0.14,0.318,4.92,0
18201,"Kangaroo, tail, raw",77500.0,20000.0,1100.0,1000.0,0.0,0.0,0.0,0.0,140,210,13,120,15,1.7,5.6,120,0.04,0.05,2.3,0
18201,"Kangaroo, tail, cooked, no added fat",72600.0,24400.0,1300.0,1200.0,0.0,0.0,0.0,0.0,145,205,14,124,16,2.07,6.83,146,0.027,0.058,2.1,0
18303,"Ostrich, fan fillet, raw",76400.0,23400.0,700.0,1100.0,0.0,0.0,0.0,0.0,53,308,3,228,26,2.3,3.71,54,0.196,0.288,4.72,0
18303,"Ostrich, moon steak, raw",76000.0,23700.0,1400.0,1100.0,0.0,0.0,0.0,0.0,52,315,3,229,26,2.8,3.8,53,0.198,0.29,4.76,0
18303,"Pigeon (squab), whole, raw",59400.0,16200.0,25500.0,800.0,0.0,0.0,0.0,0.0,68,199,13,161,18,2.4,2.2,84,0.212,0.224,6.05,5
18303,"Pigeon (squab), meat, cooked",44000.0,22300.0,35200.0,1100.0,0.0,0.0,0.0,0.0,75,220,17,178,18,2.98,3.03,116,0.205,0.278,6.67,6
